city,artist,venue,weekend,pop,month,score,genre,minprice
Philadelphia,Leon Bridges,The Fillmore Philadelphia presented by Cricket Wireless,1,1553165,10,76,R&B,55.0
Phoenix,Leon Bridges,Comerica Theatre ,0,1513367,9,76,R&B,36.5
Raleigh,Leon Bridges,Red Hat Amphitheater,1,431746,8,76,R&B,35.0
Milwaukee ,Leon Bridges,BMO Harris Pavilion,1,599164,9,76,R&B,54.47
Philadelphia,Leon Bridges,The Fillmore Philadelphia presented by Cricket Wireless,1,1553165,9,76,R&B,55.0
Valencia,Maluma,Plaza de Toros de Valencia,0,???,9,89,Other,66.0
Boston,Drake,TD Garden,0,645966,9,99,Hip-Hop/Rap,55.0
Rochester,Luke Bryan,Blue Cross Arena,0,210358,10,79,Country,39.75
Del Mar,MercyMe,Del Mar Fairgrounds,0,???,6,65,Rock,22.0
Greensboro,Godsmack,Greensboro Coliseum Complex,1,279639,9,71,Rock,39.5
Tampa,Meghan Trainor,Amalie Arena,0,352957,6,79,Rock,25.0
North Little Rock,Godsmack,Verizon Arena,0,66075,8,71,Rock,39.5
Rosemont,Meghan Trainor,Allstate Arena,1,???,6,79,Dance/Electronic,55.0
Wantagh,Meghan Trainor,Northwell Health at Jones Beach Theater,0,???,6,79,Rock,39.0
Las Vegas,Godsmack,Downtown Las Vegas Events Center,0,226877,8,71,Rock,42.45
Bonner Springs,Godsmack,Providence Medical Center Amphitheater,0,???,8,71,Rock,29.5
New Orleans,Ella Mai,Mercedes-Benz Superdome ,1,378715,7,73,R&B,90.0
Bristow,Godsmack,Jiffy Lube Live,1,???,8,71,Rock,19.0
Peoria,Godsmack,Peoria Civic Center,1,162592,9,71,Rock,36.5
Brookings,Godsmack,Swiftel Center,0,???,10,71,Rock,36.5
Virginia Beach,Godsmack,Veterans United Home Loans Amphitheater at Virginia Beach,1,448479,8,71,Rock,12.0
Burgettstown,Godsmack,KeyBank Pavilion,0,???,8,71,Rock,25.0
Syracuse,Imagine Dragons,St. Josephäó»s Health Amphitheater at Lakeview,1,144669,6,89,Rock,26.25
Raleigh,Imagine Dragons,Coastal Credit Union Music Park at Walnut Creek,0,431746,7,89,Rock,35.0
Portland,Godsmack,Veterans Memorial Coliseum,0,609456,10,71,Rock,23.0
Bangor,Imagine Dragons,Darling's Waterfront Pavilion,0,???,6,89,Rock,32.5
Holmdel,Imagine Dragons,PNC Bank Arts Center,1,???,6,89,Rock,39.5
Saratoga Springs,Imagine Dragons,Saratoga Performing Arts Center,0,???,6,89,Rock,35.0
New York,Imagine Dragons,Madison Square Garden,0,52122,6,89,Rock,49.5
Cuyahoga Falls,Imagine Dragons,Blossom Music Center,1,49267,6,89,Rock,40.0
Inglewood,Imagine Dragons,The Forum,1,111542,7,89,Rock,29.5
Tampa,Imagine Dragons,MIDFLORIDA Credit Union Amphitheatre at the FL State Fairgrounds,0,352957,8,89,Rock,35.0
Boston,Charlie Puth,Blue Hills Bank Pavilion,0,645966,7,87,Rock,50.0
St Louis,Ed Sheeran,Busch Stadium,0,318416,9,94,Pop,39.5
East Rutherford,Kenny Chesney,MetLife Stadium,1,???,8,76,Country,70.0
Philadelphia,Ed Sheeran,Lincoln Financial Field,0,1553165,9,94,Pop,35.5
Atlanta,Ed Sheeran,Mercedes-Benz Stadium,1,447841,11,94,Pop,34.5
Southaven,Kenny Chesney,BankPlus Amphitheater at Snowden Grove,0,50997,7,76,Country,35.5
Bangor,Kenny Chesney,Darling's Waterfront Pavilion,0,???,8,76,Country,29.75
Detroit,Kenny Chesney,Ford Field,1,688701,8,76,Country,44.5
Nashville,Kenny Chesney,Nissan Stadium,1,634464,8,76,Country,35.0
Brooklyn,Foster The People,Barclays Center,0,78373,6,77,Rock,35.0
Philadelphia,Foster The People,Festival Pier (at Penn's Landing),1,1553165,6,77,Rock,65.0
Foxborough,Kenny Chesney,Gillette Stadium,1,???,8,76,Country,66.0
Stateline,Kenny Chesney,Lake Tahoe Outdoor Arena at Harveys,0,???,7,76,Country,69.5
Noblesville,Foster The People,Ruoff Home Mortgage Music Center,0,56540,6,77,Rock,28.5
Inglewood,Foster The People,The Forum,0,111542,7,77,Rock,39.5
Chula Vista,Foster The People,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),0,256780,7,77,Rock,29.5
Chicago,Foster The People,Huntington Bank Pavilion at Northerly Island,1,2718782,7,77,Rock,39.5
New York,NF,Madison Square Garden,1,52122,6,81,Hip-Hop/Rap,49.5
Auburn,NF,White River Amphitheatre,0,74860,7,81,Hip-Hop/Rap,25.0
Irvine,Niall Horan,FivePoint Amphitheatre,1,236716,8,78,Rock,37.5
Cuyahoga Falls,NF,Blossom Music Center,0,49267,7,81,Hip-Hop/Rap,35.0
Jacksonville,NF,Daily's Place,1,69079,6,81,Hip-Hop/Rap,39.5
Phoenix,NF,Ak-Chin Pavilion,0,1513367,7,81,Hip-Hop/Rap,25.0
Holmdel,NF,PNC Bank Arts Center,1,???,6,81,Hip-Hop/Rap,22.0
Portland,NF,Moda Center,1,609456,7,81,Hip-Hop/Rap,57.5
Woodlands,NF,The Cynthia Woods Mitchell Pavilion presented by Huntsman,1,???,7,81,Hip-Hop/Rap,25.0
Inglewood,NF,The Forum,0,111542,7,81,Hip-Hop/Rap,39.5
Mountain View,NF,Shoreline Amphitheatre,0,77846,7,81,Hip-Hop/Rap,25.0
Toronto,Childish Gambino,Air Canada Centre,1,???,9,87,Hip-Hop/Rap,59.5
Vancouver,Childish Gambino,Rogers Arena,1,167405,9,87,Hip-Hop/Rap,59.5
Boston,Childish Gambino,TD Garden,0,645966,9,87,Hip-Hop/Rap,45.0
New York,Childish Gambino,Madison Square Garden,1,52122,9,87,Hip-Hop/Rap,49.5
Oakland,Childish Gambino,Oracle Arena,0,406253,9,87,Hip-Hop/Rap,49.5
Milwaukee,Foster The People,Henry Maier Festival Park (Summerfest Grounds),0,599164,7,77,Rock,50.0
Barcelona,Portugal. The Man,Sala Apolo,1,???,7,78,Rock,31.5
Noblesville,Charlie Puth,Ruoff Home Mortgage Music Center,1,56540,8,87,Rock,24.0
Los Angeles,Charlie Puth,Greek Theatre,0,3884307,8,87,Rock,39.5
Wantagh,Charlie Puth,Northwell Health at Jones Beach Theater,1,???,6,87,Dance/Electronic,25.0
Chula Vista,Charlie Puth,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),1,256780,8,87,Rock,25.0
Irving,Charlie Puth,The Pavilion at Toyota Music Factory,0,228653,8,87,Rock,29.5
Chicago,Charlie Puth,Huntington Bank Pavilion at Northerly Island,0,2718782,7,87,Rock,39.5
Mountain View,Charlie Puth,Shoreline Amphitheatre,0,77846,8,87,Rock,25.0
Charlotte,Charlie Puth,PNC Music Pavilion,0,44349,7,87,Rock,25.0
Inglewood,Brett Young,The Forum,0,111542,10,71,Country,34.75
Anaheim,Brett Young,Honda Center,0,345012,10,71,Country,33.75
Las Vegas,Brett Young,Mandalay Bay Beach at Mandalay Bay Resort,0,226877,8,71,Folk,87.16
Nashville,Brett Young,Ryman Auditorium,0,634464,10,71,Folk,29.5
West Palm Beach,Charlie Puth,Coral Sky Amphitheatre at the S. Florida Fairgrounds,1,102436,9,87,Rock,25.0
Tinley Park,Rae Sremmurd,"Hollywood Casino Amphitheatre - Chicago, IL",1,57282,7,87,Hip-Hop/Rap,29.0
Syracuse,Brett Young,The Oncenter War Memorial Arena,0,144669,9,71,Country,29.75
Wantagh,Dua Lipa,Northwell Health at Jones Beach Theater,0,???,6,92,Rock,39.0
Raleigh,Rae Sremmurd,Coastal Credit Union Music Park at Walnut Creek,1,431746,8,87,Hip-Hop/Rap,39.0
Camden,Rae Sremmurd,BB&T Pavilion  ,0,76903,8,87,Hip-Hop/Rap,29.5
Warsaw,Portugal. The Man,Palladium,1,???,6,78,Alternative,105.0
Bristow,Rae Sremmurd,Jiffy Lube Live,0,???,8,87,Hip-Hop/Rap,30.75
Mountain View,Niall Horan,Shoreline Amphitheatre,1,77846,8,78,Rock,29.5
Cuyahoga Falls,Rae Sremmurd,Blossom Music Center,1,49267,7,87,Hip-Hop/Rap,35.0
Milwaukee,Luke Combs,American Family Insurance Amphitheater-Summerfest,0,599164,7,79,Country,65.23
Darien Center,Luke Combs,Darien Lake Amphitheater,0,???,8,79,Country,39.25
Raleigh,Luke Combs,Coastal Credit Union Music Park at Walnut Creek,1,431746,8,79,Country,39.0
Brandon,Luke Combs,Brandon Amphitheater,0,???,7,79,Country,34.5
Dallas,Luke Combs,Dos Equis Pavilion,1,1257676,7,79,Country,41.75
Noblesville,Rae Sremmurd,Ruoff Home Mortgage Music Center,0,56540,7,87,Hip-Hop/Rap,24.0
Charlotte,Luke Combs,PNC Music Pavilion,0,44349,8,79,Country,39.0
Bristow,Luke Combs,Jiffy Lube Live,1,???,7,79,Country,40.0
Springfield,Luke Combs,Illinois State Fairgrounds Il State Fair,0,153703,8,79,Country,12.0
Sioux Falls,Luke Combs,Sanford Pentagon,0,164676,10,79,Country,23.0
