event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
976,60,Saudi Arabia,away,92.0,Yellow card, Mohammed Al-Owais ,sin información
977,60,Saudi Arabia,away,99.0,Substitution, Mohammed Al-Breik , Yasser Al-Shahrani 
978,61,USA,home,11.0,Yellow card, Sergiño Dest ,sin información
979,61,USA,home,13.0,Yellow card, Weston McKennie ,sin información
980,61,USA,home,36.0,Goal, Tim Weah , Christian Pulisic 
981,61,Wales,away,40.0,Yellow card, Gareth Bale ,sin información
982,61,Wales,away,48.0,Yellow card, Chris Mepham ,sin información
983,61,Wales,away,45.0,Substitution, Kieffer Moore , Daniel James 
984,61,USA,home,51.0,Yellow card, Tim Ream ,sin información
985,61,USA,home,66.0,Substitution, Brenden Aaronson , Weston McKennie 
986,61,USA,home,74.0,Substitution, Haji Wright , Josh Sargent 
987,61,USA,home,74.0,Substitution, DeAndre Yedlin , Sergiño Dest 
988,61,USA,home,75.0,Substitution, Kellyn Acosta , Yunus Musah 
989,61,Wales,away,79.0,Substitution, Brennan Johnson , Neco Williams 
990,61,Wales,away,82.0,Penalty, Gareth Bale , Penalty 
991,61,USA,home,88.0,Substitution, Jordan Morris , Tim Weah 
992,61,Wales,away,93.0,Substitution, Sorba Thomas , Harry Wilson 
993,61,Wales,away,95.0,Substitution, Joe Morrell , Ethan Ampadu 
994,61,USA,home,100.0,Yellow card, Kellyn Acosta ,sin información
995,62,Netherlands,away,56.0,Yellow card, Matthijs de Ligt ,sin información
996,62,Netherlands,away,62.0,Substitution, Memphis , Vincent Janssen 
997,62,Senegal,home,62.0,Substitution, Ismail Jakobs , Abdou Diallo 
998,62,Senegal,home,69.0,Substitution, Bamba Dieng , Boulaye Dia 
999,62,Senegal,home,73.0,Substitution, Nicolas Jackson , Krépin Diatta 
1000,62,Senegal,home,73.0,Substitution, Pape Gueye , Cheikhou Kouyaté 
1001,62,Netherlands,away,79.0,Substitution, Davy Klaassen , Steven Bergwijn 
1002,62,Netherlands,away,79.0,Substitution, Teun Koopmeiners , Steven Berghuis 
1003,62,Netherlands,away,84.0,Goal, Cody Gakpo , Frenkie de Jong 
1004,62,Senegal,home,94.0,Yellow card, Nampalys Mendy ,sin información
1005,62,Netherlands,away,94.0,Substitution, Marten de Roon , Cody Gakpo 
1006,62,Senegal,home,96.0,Yellow card, Idrissa Gueye ,sin información
1007,62,Netherlands,away,99.0,Goal, Davy Klaassen ,sin información
1008,63,Iran,away,20.0,Substitution, Hossein Hosseini , Alireza Beiranvand 
